timestamp,open,high,low,close,volume
2026-05-05 01:20:00+00:00,80216.4,80216.4,80216.4,80216.4,0.0
2026-05-05 01:21:00+00:00,80247.9,80248.0,80247.9,80248.0,0.00409961
2026-05-05 01:22:00+00:00,80248.0,80248.0,80248.0,80248.0,0.0
2026-05-05 01:23:00+00:00,80221.4,80252.2,80221.4,80237.2,0.43704037
2026-05-05 01:24:00+00:00,80237.2,80237.2,80237.2,80237.2,0.0
2026-05-05 01:25:00+00:00,80254.4,80254.4,80254.4,80254.4,0.03664816
2026-05-05 01:26:00+00:00,80253.2,80253.2,80253.2,80253.2,0.00135982
2026-05-05 01:27:00+00:00,80253.2,80253.2,80253.2,80253.2,0.0
2026-05-05 01:28:00+00:00,80254.7,80254.7,80253.2,80254.0,0.06503632
2026-05-05 01:29:00+00:00,80254.0,80254.0,80253.4,80253.4,0.06318
2026-05-05 01:30:00+00:00,80250.0,80254.0,80250.0,80254.0,0.00332724
2026-05-05 01:31:00+00:00,80254.0,80254.0,80254.0,80254.0,0.0029491
2026-05-05 01:32:00+00:00,80254.0,80254.0,80254.0,80254.0,0.0
2026-05-05 01:33:00+00:00,80206.5,80207.4,80206.5,80207.3,0.04734584
2026-05-05 01:34:00+00:00,80207.3,80207.3,80207.3,80207.3,0.00321363
2026-05-05 01:35:00+00:00,80207.4,80254.0,80207.4,80254.0,0.00234366
2026-05-05 01:36:00+00:00,80254.1,80306.8,80254.1,80306.8,0.03626155
2026-05-05 01:37:00+00:00,80306.8,80306.8,80306.8,80306.8,0.0
2026-05-05 01:38:00+00:00,80296.9,80296.9,80296.9,80296.9,0.00149445
2026-05-05 01:39:00+00:00,80267.0,80267.0,80267.0,80267.0,0.00029933
2026-05-05 01:40:00+00:00,80267.0,80267.0,80267.0,80267.0,0.0
2026-05-05 01:41:00+00:00,80277.0,80277.0,80277.0,80277.0,0.2197559
2026-05-05 01:42:00+00:00,80260.2,80267.5,80255.4,80267.0,0.01595845
2026-05-05 01:43:00+00:00,80267.0,80267.0,80267.0,80267.0,0.0
2026-05-05 01:44:00+00:00,80267.4,80267.4,80267.3,80267.3,0.46653252
2026-05-05 01:45:00+00:00,80267.0,80271.4,80267.0,80271.4,0.0009986
2026-05-05 01:46:00+00:00,80271.4,80271.4,80271.4,80271.4,0.0
2026-05-05 01:47:00+00:00,80297.8,80350.9,80297.8,80350.9,0.03308445
2026-05-05 01:48:00+00:00,80350.9,80350.9,80350.9,80350.9,0.06318
2026-05-05 01:49:00+00:00,80329.2,80329.2,80329.2,80329.2,0.03159
2026-05-05 01:50:00+00:00,80329.2,80329.2,80329.2,80329.2,0.0
2026-05-05 01:51:00+00:00,80351.0,80364.5,80351.0,80364.5,0.04016108
2026-05-05 01:52:00+00:00,80358.2,80358.2,80358.2,80358.2,0.00039295
2026-05-05 01:53:00+00:00,80358.2,80358.2,80358.2,80358.2,0.0
2026-05-05 01:54:00+00:00,80356.9,80356.9,80356.0,80356.4,0.13459126
2026-05-05 01:55:00+00:00,80356.4,80356.4,80356.4,80356.4,0.0
2026-05-05 01:56:00+00:00,80340.0,80340.0,80329.4,80329.4,0.00310799
2026-05-05 01:57:00+00:00,80329.4,80329.4,80329.4,80329.4,0.0
2026-05-05 01:58:00+00:00,80340.9,80340.9,80340.9,80340.9,6.072e-05
2026-05-05 01:59:00+00:00,80340.9,80340.9,80340.9,80340.9,0.00143293
2026-05-05 02:00:00+00:00,80354.5,80354.5,80353.9,80353.9,0.00183989
